package-registry_1  | 2021/09/08 14:07:34 Package registry started.
package-registry_1  | 2021/09/08 14:07:34 juniper             	     0.5.0	/packages/production/juniper/0.5.0
package-registry_1  | 2021/09/08 14:07:34 juniper             	     0.5.1	/packages/production/juniper/0.5.1
package-registry_1  | 2021/09/08 14:07:34 juniper             	     0.7.0	/packages/production/juniper/0.7.0
package-registry_1  | 2021/09/08 14:07:34 kafka               	     0.2.3	/packages/production/kafka/0.2.3
package-registry_1  | 2021/09/08 14:07:34 kafka               	     0.2.4	/packages/production/kafka/0.2.4
package-registry_1  | 2021/09/08 14:07:34 kafka               	     0.3.6	/packages/production/kafka/0.3.6
package-registry_1  | 2021/09/08 14:07:34 kafka               	     0.5.0	/packages/production/kafka/0.5.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.1.5	/packages/production/kubernetes/0.1.5
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.1.6	/packages/production/kubernetes/0.1.6
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	    0.10.0	/packages/production/kubernetes/0.10.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	    0.11.0	/packages/production/kubernetes/0.11.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	    0.11.1	/packages/production/kubernetes/0.11.1
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	    0.12.0	/packages/production/kubernetes/0.12.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	    0.12.1	/packages/production/kubernetes/0.12.1
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	    0.12.2	/packages/production/kubernetes/0.12.2
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	    0.13.0	/packages/production/kubernetes/0.13.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	    0.14.0	/packages/production/kubernetes/0.14.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.2.8	/packages/production/kubernetes/0.2.8
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.2.9	/packages/production/kubernetes/0.2.9
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.3.0	/packages/production/kubernetes/0.3.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.4.0	/packages/production/kubernetes/0.4.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.4.1	/packages/production/kubernetes/0.4.1
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.4.2	/packages/production/kubernetes/0.4.2
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.4.3	/packages/production/kubernetes/0.4.3
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.4.5	/packages/production/kubernetes/0.4.5
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.5.0	/packages/production/kubernetes/0.5.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.5.1	/packages/production/kubernetes/0.5.1
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.5.2	/packages/production/kubernetes/0.5.2
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.6.0	/packages/production/kubernetes/0.6.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.8.0	/packages/production/kubernetes/0.8.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.9.0	/packages/production/kubernetes/0.9.0
package-registry_1  | 2021/09/08 14:07:34 kubernetes          	     0.9.1	/packages/production/kubernetes/0.9.1
package-registry_1  | 2021/09/08 14:07:34 linux               	     0.3.1	/packages/production/linux/0.3.1
package-registry_1  | 2021/09/08 14:07:34 linux               	     0.3.3	/packages/production/linux/0.3.3
package-registry_1  | 2021/09/08 14:07:34 linux               	     0.3.8	/packages/production/linux/0.3.8
package-registry_1  | 2021/09/08 14:07:34 linux               	     0.4.0	/packages/production/linux/0.4.0
package-registry_1  | 2021/09/08 14:07:34 linux               	     0.4.1	/packages/production/linux/0.4.1
package-registry_1  | 2021/09/08 14:07:34 log                 	     0.3.3	/packages/production/log/0.3.3
package-registry_1  | 2021/09/08 14:07:34 log                 	     0.3.4	/packages/production/log/0.3.4
package-registry_1  | 2021/09/08 14:07:34 log                 	     0.3.5	/packages/production/log/0.3.5
package-registry_1  | 2021/09/08 14:07:34 log                 	     0.4.6	/packages/production/log/0.4.6
package-registry_1  | 2021/09/08 14:07:34 microsoft           	     0.3.0	/packages/production/microsoft/0.3.0
package-registry_1  | 2021/09/08 14:07:34 microsoft           	     0.3.1	/packages/production/microsoft/0.3.1
package-registry_1  | 2021/09/08 14:07:34 microsoft           	     0.3.2	/packages/production/microsoft/0.3.2
package-registry_1  | 2021/09/08 14:07:34 microsoft           	     0.3.4	/packages/production/microsoft/0.3.4
package-registry_1  | 2021/09/08 14:07:34 microsoft           	     0.4.1	/packages/production/microsoft/0.4.1
package-registry_1  | 2021/09/08 14:07:34 microsoft           	     0.4.3	/packages/production/microsoft/0.4.3
package-registry_1  | 2021/09/08 14:07:34 microsoft           	     0.6.0	/packages/production/microsoft/0.6.0
package-registry_1  | 2021/09/08 14:07:34 mongodb             	     0.1.3	/packages/production/mongodb/0.1.3
package-registry_1  | 2021/09/08 14:07:34 mongodb             	     0.1.4	/packages/production/mongodb/0.1.4
package-registry_1  | 2021/09/08 14:07:34 mongodb             	     0.2.7	/packages/production/mongodb/0.2.7
package-registry_1  | 2021/09/08 14:07:34 mongodb             	     0.6.0	/packages/production/mongodb/0.6.0
package-registry_1  | 2021/09/08 14:07:34 mysql               	     0.2.3	/packages/production/mysql/0.2.3
package-registry_1  | 2021/09/08 14:07:34 mysql               	     0.2.4	/packages/production/mysql/0.2.4
package-registry_1  | 2021/09/08 14:07:34 mysql               	     0.3.6	/packages/production/mysql/0.3.6
package-registry_1  | 2021/09/08 14:07:34 mysql               	     0.5.0	/packages/production/mysql/0.5.0
package-registry_1  | 2021/09/08 14:07:34 nats                	     0.1.0	/packages/production/nats/0.1.0
package-registry_1  | 2021/09/08 14:07:34 nats                	     0.1.1	/packages/production/nats/0.1.1
package-registry_1  | 2021/09/08 14:07:34 nats                	     0.1.2	/packages/production/nats/0.1.2
package-registry_1  | 2021/09/08 14:07:34 nats                	     0.1.4	/packages/production/nats/0.1.4
package-registry_1  | 2021/09/08 14:07:34 nats                	     0.2.0	/packages/production/nats/0.2.0
package-registry_1  | 2021/09/08 14:07:34 nats                	     0.4.0	/packages/production/nats/0.4.0
package-registry_1  | 2021/09/08 14:07:34 netflow             	     0.2.2	/packages/production/netflow/0.2.2
package-registry_1  | 2021/09/08 14:07:34 netflow             	     0.2.3	/packages/production/netflow/0.2.3
package-registry_1  | 2021/09/08 14:07:34 netflow             	     0.3.5	/packages/production/netflow/0.3.5
package-registry_1  | 2021/09/08 14:07:34 netflow             	     0.3.6	/packages/production/netflow/0.3.6
package-registry_1  | 2021/09/08 14:07:34 netflow             	     0.3.8	/packages/production/netflow/0.3.8
package-registry_1  | 2021/09/08 14:07:34 netflow             	     1.0.0	/packages/production/netflow/1.0.0
package-registry_1  | 2021/09/08 14:07:34 netscout            	     0.1.0	/packages/production/netscout/0.1.0
package-registry_1  | 2021/09/08 14:07:34 netscout            	     0.1.2	/packages/production/netscout/0.1.2
package-registry_1  | 2021/09/08 14:07:34 netscout            	     0.1.3	/packages/production/netscout/0.1.3
package-registry_1  | 2021/09/08 14:07:34 netscout            	     0.1.4	/packages/production/netscout/0.1.4
package-registry_1  | 2021/09/08 14:07:34 netscout            	     0.3.0	/packages/production/netscout/0.3.0
package-registry_1  | 2021/09/08 14:07:34 nginx               	     0.2.3	/packages/production/nginx/0.2.3
package-registry_1  | 2021/09/08 14:07:34 nginx               	     0.2.4	/packages/production/nginx/0.2.4
package-registry_1  | 2021/09/08 14:07:34 nginx               	     0.3.6	/packages/production/nginx/0.3.6
package-registry_1  | 2021/09/08 14:07:34 nginx               	     0.3.7	/packages/production/nginx/0.3.7
package-registry_1  | 2021/09/08 14:07:34 nginx               	     0.3.9	/packages/production/nginx/0.3.9
package-registry_1  | 2021/09/08 14:07:34 nginx               	     0.4.0	/packages/production/nginx/0.4.0
package-registry_1  | 2021/09/08 14:07:34 nginx               	     0.5.0	/packages/production/nginx/0.5.0
package-registry_1  | 2021/09/08 14:07:34 nginx               	     0.7.0	/packages/production/nginx/0.7.0
package-registry_1  | 2021/09/08 14:07:34 nginx_ingress_controller	     0.0.3	/packages/production/nginx_ingress_controller/0.0.3
package-registry_1  | 2021/09/08 14:07:34 nginx_ingress_controller	     0.1.0	/packages/production/nginx_ingress_controller/0.1.0
package-registry_1  | 2021/09/08 14:07:34 nginx_ingress_controller	     0.2.0	/packages/production/nginx_ingress_controller/0.2.0
package-registry_1  | 2021/09/08 14:07:34 o365                	     0.2.1	/packages/production/o365/0.2.1
package-registry_1  | 2021/09/08 14:07:34 o365                	     0.2.3	/packages/production/o365/0.2.3
package-registry_1  | 2021/09/08 14:07:34 o365                	     0.2.4	/packages/production/o365/0.2.4
package-registry_1  | 2021/09/08 14:07:34 o365                	     0.2.5	/packages/production/o365/0.2.5
package-registry_1  | 2021/09/08 14:07:34 o365                	     0.2.6	/packages/production/o365/0.2.6
package-registry_1  | 2021/09/08 14:07:34 o365                	     0.3.1	/packages/production/o365/0.3.1
package-registry_1  | 2021/09/08 14:07:34 o365                	     0.3.2	/packages/production/o365/0.3.2
package-registry_1  | 2021/09/08 14:07:34 o365                	     1.0.0	/packages/production/o365/1.0.0
package-registry_1  | 2021/09/08 14:07:34 okta                	     0.2.1	/packages/production/okta/0.2.1
package-registry_1  | 2021/09/08 14:07:34 okta                	     0.2.3	/packages/production/okta/0.2.3
package-registry_1  | 2021/09/08 14:07:34 okta                	     0.2.4	/packages/production/okta/0.2.4
package-registry_1  | 2021/09/08 14:07:34 okta                	     0.2.5	/packages/production/okta/0.2.5
package-registry_1  | 2021/09/08 14:07:34 okta                	     0.3.1	/packages/production/okta/0.3.1
package-registry_1  | 2021/09/08 14:07:34 okta                	     0.5.0	/packages/production/okta/0.5.0
package-registry_1  | 2021/09/08 14:07:34 okta                	     1.0.0	/packages/production/okta/1.0.0
package-registry_1  | 2021/09/08 14:07:34 okta                	     1.1.0	/packages/production/okta/1.1.0
package-registry_1  | 2021/09/08 14:07:34 osquery             	     0.1.0	/packages/production/osquery/0.1.0
